index,chinese_idiom,pinyin
0,一丘之貉,yi1 qiu1 zhi1 he2
1,一举两得,yi1 ju3 liang3 de2
2,一事无成,yi2 shi4 wu2 cheng2
3,一以贯之,yi1 yi3 guan4 zhi1
4,一刀两断,yi4 dao1 liang3 duan4
5,一分为二,yi1 fen1 wei2 er4
6,一劳永逸,yi4 lao2 yong3 yi4
7,一叶知秋,yi1 ye4 zhi1 qiu1
8,一呼百应,yi1 hu1 bai3 ying4
9,一命呜呼,yi2 ming4 wu1 hu1
10,一团和气,yi1 tuan2 he2 qi4
11,一塌糊涂,yi1 ta1 hu2 tu2
12,一如既往,yi4 ru2 ji4 wang3
13,一尘不染,yi1 chen2 bu4 ran3
14,一帆风顺,yi1 fan1 feng1 shun4
15,一应俱全,yi1 ying1 ju4 quan2
16,一往情深,yi1 wang3 qing2 shen1
17,一念之差,yi1 nian4 zhi1 cha1
18,一息尚存,yi1 xi1 shang4 cun2
19,一意孤行,yi1 yi4 gu1 xing2
20,一无所有,yi1 wu2 suo3 you3
21,一日三秋,yi2 ri4 san1 qiu1
22,一时半刻,yi1 shi2 ban4 ke4
23,一本万利,yi1 ben3 wan4 li4
24,一概而论,yi1 gai4 er2 lun4
25,一毛不拔,yi1 mao2 bu4 ba2
26,一气呵成,yi1 qi4 he1 cheng2
27,一波三折,yi1 bo1 san1 zhe2
28,一清二楚,yi4 qing1 er4 chu3
29,一盘散沙,yi1 pan2 san3 sha1
30,一目十行,yi1 mu4 shi2 hang2
31,一知半解,yi1 zhi1 ban4 jie3
32,一窍不通,yi1 qiao4 bu4 tong1
33,一笔勾销,yi1 bi3 gou1 xiao1
34,一筹莫展,yi1 chou2 mo4 zhan3
35,一箭双雕,yi1 jian4 shuang1 diao1
36,一线生机,yi1 xian4 sheng1 ji1
37,一网打尽,yi1 wang3 da3 jin4
38,一脉相承,yi1 mai4 xiang1 cheng2
39,一臂之力,yi1 bi4 zhi1 li4
40,一落千丈,yi1 luo4 qian1 zhang4
41,一见钟情,yi1 jian4 zhong1 qing2
42,一视同仁,yi1 shi4 tong2 ren2
43,一触即发,yi1 chu4 ji2 fa1
44,一语道破,yi1 yu3 dao4 po4
45,一诺千金,yi2 nuo4 qian1 jin1
46,一败涂地,yi1 bai4 tu2 di4
47,一蹴而就,yi2 cu4 er2 jiu4
48,一通百通,yi2 tong4 bai3 tong1
49,一针见血,yi1 zhen1 jian4 xie3
50,一钱不值,yi1 qian2 bu4 zhi2
51,一馈十起,yi1 kui4 shi2 qi3
52,一马当先,yi1 ma3 dang1 xian1
53,一鸣惊人,yi4 ming2 jing1 ren2
54,一鼓作气,yi1 gu3 zuo4 qi4
55,七上八下,qi1 shang4 ba1 xia4
56,七嘴八舌,qi1 zui3 ba1 she2
57,七手八脚,qi1 shou3 ba1 jiao3
58,七步之才,qi1 bu4 zhi1 cai2
59,七死八活,qi1 si3 ba1 huo2
60,七窍生烟,qi1 qiao4 sheng1 yan1
61,七零八落,qi1 ling2 ba1 luo4
62,七青八黄,qi1 qing1 ba1 huang2
63,万不得已,wan4 bu4 de2 yi3
64,万人空巷,wan4 ren2 kong1 xiang4
65,万众一心,wan4 zhong4 yi1 xin1
66,万全之策,wan4 quan2 zhi1 ce4
67,万古长青,wan4 gu3 chang2 qing1
68,万家灯火,wan4 jia1 deng1 huo3
69,万寿无疆,wan4 shou4 wu2 jiang1
70,万念俱灰,wan4 nian4 ju4 hui1
71,万无一失,wan4 wu2 yi1 shi1
72,万死不辞,wan4 si3 bu4 ci2
73,万物之灵,wan4 wu4 zhi1 ling2
74,万箭穿心,wan4 jian4 chuan1 xin1
75,万籁俱寂,wan4 lai4 ju4 ji4
76,万紫千红,wan4 zi3 qian1 hong2
77,万般无奈,wan4 ban1 wu2 nai4
78,万象更新,wan4 xiang4 geng1 xin1
79,万马齐喑,wan4 ma3 qi2 yin1
80,三三两两,san1 san1 liang3 liang3
81,三五成群,san1 wu3 cheng2 qun2
82,三人成虎,san1 ren2 cheng2 hu3
83,三从四德,san1 cong2 si4 de2
84,三令五申,san1 ling4 wu3 shen1
85,三元及第,san1 yuan2 ji2 di4
86,三坟五典,san1 fen2 wu3 dian3
87,三头六臂,san1 tou2 liu4 bi4
88,三心二意,san1 xin1 er4 yi4
89,三思而行,san1 si1 er2 xing2
90,三户亡秦,san1 hu4 wang2 qin2
91,三教九流,san1 jiao4 jiu3 liu2
92,三更半夜,san1 geng1 ban4 ye4
93,三朝元老,san1 chao2 yuan2 lao3
94,三班六房,san1 ban1 liu4 fang2
95,三生有幸,san1 sheng1 you3 xing4
96,三缄其口,san1 jian1 qi2 kou3
97,三言两语,san1 yan2 liang3 yu3
98,三足鼎立,san1 zu2 ding3 li4
99,三长两短,san1 chang2 liang3 duan3
100,三阳开泰,san1 yang2 kai1 tai4
101,上善若水,shang4 shan4 ruo4 shui3
102,上行下效,shang4 xing2 xia4 xiao4
103,下不为例,xia4 bu4 wei2 li4
104,下情上达,xia4 qing2 shang4 da2
105,下笔千言,xia4 bi3 qian1 yan2
106,下车伊始,xia4 che1 yi1 shi3
107,下阪走丸,xia4 ban3 zou3 wan2
